Country,City,Charging Station ID,Charging Station Type,EV Model,Manufacturer,Battery Capacity (kWh),Charging Start Time,Charging End Time,Charging Duration (mins),Energy Delivered (kWh),Charging Cost ($),Payment Method,Temperature (°C),Charging Session Outcome,Station Utilization Rate (%)
India,Delhi,CS-4556,Level 1,BYD Han,BYD,76,2025-02-19 17:48:29,2025-02-19 20:13:29,145,13.21,4.89,App,-3.2,Aborted,10.1
Japan,Yokohama,CS-6286,Level 2,Chevy Bolt,Chevrolet,66,2025-04-01 11:48:16,2025-04-01 13:36:16,108,31.31,12.04,Subscription,7.6,Completed,67.6
China,Shenzhen,CS-9301,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-02-22 06:30:54,2025-02-22 08:29:54,119,24.24,7.49,Card,2.7,Failed,85.2
UK,Birmingham,CS-1461,Level 2,BYD Han,BYD,76,2025-01-08 16:53:10,2025-01-08 18:25:10,92,33.83,11.84,App,3.4,Failed,58.5
India,Delhi,CS-1698,DC Fast,Kia EV6,Kia,77,2025-03-22 01:22:36,2025-03-22 03:30:36,128,53.65,13.59,Card,21.4,Aborted,51.2
Australia,Melbourne,CS-9163,Level 1,Nissan Leaf,Nissan,40,2025-03-21 19:06:43,2025-03-21 20:21:43,75,28.55,4.78,Card,-4.0,Completed,88.7
Australia,Sydney,CS-1429,DC Fast,Kia EV6,Kia,77,2025-02-15 17:09:14,2025-02-15 19:10:14,121,68.8,18.76,Subscription,10.4,Aborted,29.5
USA,New York,CS-3576,DC Fast,Porsche Taycan,Porsche,93,2025-01-11 07:53:04,2025-01-11 09:04:04,71,20.48,7.93,App,-3.0,Completed,83.4
Germany,Munich,CS-3820,DC Fast,BMW i3,BMW,42,2025-03-15 23:14:17,2025-03-16 01:27:17,133,29.7,11.77,App,33.0,Aborted,59.0
Japan,Osaka,CS-5814,Level 2,Renault Zoe,Renault,52,2025-02-24 12:53:51,2025-02-24 15:02:51,129,47.17,15.24,App,5.4,Completed,77.2
China,Shenzhen,CS-5569,DC Fast,Kia EV6,Kia,77,2025-03-15 03:23:45,2025-03-15 06:18:45,175,22.23,5.16,App,4.4,Aborted,35.6
Japan,Tokyo,CS-3315,DC Fast,BMW i3,BMW,42,2025-03-28 20:01:01,2025-03-28 20:54:01,53,13.56,4.18,Card,-2.4,Aborted,36.5
Norway,Bergen,CS-5014,DC Fast,Tesla Model 3,Tesla,60,2025-03-09 05:18:31,2025-03-09 06:25:31,67,50.81,11.02,Subscription,-4.2,Failed,40.4
USA,Los Angeles,CS-2949,Level 2,Hyundai Kona Electric,Hyundai,64,2025-02-07 23:20:52,2025-02-08 01:14:52,114,55.35,21.37,Subscription,24.9,Failed,74.0
France,Lyon,CS-1171,Level 2,Chevy Bolt,Chevrolet,66,2025-01-22 04:22:49,2025-01-22 05:46:49,84,31.59,3.43,Subscription,22.2,Aborted,67.9
Norway,Oslo,CS-4005,DC Fast,BYD Han,BYD,76,2025-01-26 21:33:54,2025-01-27 00:04:54,151,6.91,1.51,Subscription,-3.9,Failed,44.3
Norway,Oslo,CS-8262,Level 2,Tesla Model 3,Tesla,60,2025-01-26 11:59:53,2025-01-26 13:20:53,81,25.85,4.23,App,25.4,Aborted,32.3
Canada,Vancouver,CS-7745,Level 2,Nissan Leaf,Nissan,40,2025-02-17 04:18:58,2025-02-17 06:33:58,135,5.68,1.49,Card,21.0,Failed,13.2
USA,New York,CS-7096,Level 2,Chevy Bolt,Chevrolet,66,2025-03-17 16:13:13,2025-03-17 16:33:13,20,42.9,7.36,Subscription,-0.4,Completed,47.2
China,Shanghai,CS-1077,Level 1,BMW i3,BMW,42,2025-02-26 02:55:38,2025-02-26 05:45:38,170,27.47,8.91,Card,33.6,Completed,56.3
China,Shenzhen,CS-9333,DC Fast,Porsche Taycan,Porsche,93,2025-01-12 19:34:01,2025-01-12 21:30:01,116,87.85,14.01,Subscription,28.2,Completed,18.2
China,Shenzhen,CS-2898,Level 1,BYD Han,BYD,76,2025-03-20 03:37:22,2025-03-20 04:22:22,45,61.53,16.6,App,16.3,Failed,39.6
Japan,Yokohama,CS-7512,Level 1,Audi e-tron,Audi,95,2025-03-03 15:09:04,2025-03-03 15:27:04,18,81.46,28.24,App,33.4,Failed,81.3
Norway,Trondheim,CS-4261,DC Fast,BMW i3,BMW,42,2025-03-22 13:18:24,2025-03-22 15:24:24,126,11.52,2.96,App,19.6,Failed,72.0
Norway,Bergen,CS-2152,Level 1,BYD Han,BYD,76,2025-02-06 09:21:54,2025-02-06 10:44:54,83,27.88,4.84,App,30.3,Completed,70.0
Australia,Brisbane,CS-3115,Level 1,Porsche Taycan,Porsche,93,2025-04-01 21:46:56,2025-04-01 23:27:56,101,7.53,2.68,App,3.5,Aborted,37.2
Australia,Brisbane,CS-3992,Level 1,Hyundai Kona Electric,Hyundai,64,2025-02-12 10:20:17,2025-02-12 12:57:17,157,5.6,2.15,Card,23.8,Aborted,54.4
France,Nice,CS-1913,Level 1,Kia EV6,Kia,77,2025-01-22 16:04:43,2025-01-22 19:04:43,180,56.25,13.19,Card,6.8,Aborted,65.3
China,Shenzhen,CS-9110,Level 2,BYD Han,BYD,76,2025-02-13 21:21:47,2025-02-13 23:10:47,109,38.6,10.01,Subscription,17.0,Aborted,66.2
China,Shanghai,CS-3527,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-26 13:50:07,2025-01-26 15:04:07,74,12.12,1.91,Subscription,16.4,Failed,24.8
France,Nice,CS-9921,DC Fast,Kia EV6,Kia,77,2025-04-01 13:38:41,2025-04-01 15:03:41,85,57.17,22.47,Subscription,6.3,Completed,76.6
China,Beijing,CS-9759,Level 1,Audi e-tron,Audi,95,2025-01-18 01:03:57,2025-01-18 02:03:57,60,32.2,10.06,App,-3.2,Completed,54.3
UK,Birmingham,CS-4519,Level 2,Kia EV6,Kia,77,2025-03-20 04:05:17,2025-03-20 04:46:17,41,67.84,18.47,App,12.6,Completed,87.2
China,Shanghai,CS-5877,DC Fast,Nissan Leaf,Nissan,40,2025-01-09 09:04:08,2025-01-09 09:35:08,31,19.02,2.32,Subscription,-2.9,Completed,74.9
China,Beijing,CS-5422,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-23 03:47:28,2025-02-23 04:32:28,45,39.04,8.78,Subscription,4.0,Failed,40.4
Norway,Bergen,CS-9253,DC Fast,BYD Han,BYD,76,2025-02-15 17:57:22,2025-02-15 20:01:22,124,26.68,7.64,Subscription,-1.0,Completed,60.0
China,Shenzhen,CS-5345,Level 1,Nissan Leaf,Nissan,40,2025-03-18 19:13:02,2025-03-18 20:08:02,55,13.4,3.56,Card,11.3,Failed,57.5
China,Beijing,CS-6605,Level 2,Chevy Bolt,Chevrolet,66,2025-02-15 05:47:31,2025-02-15 07:15:31,88,48.12,14.96,Card,22.5,Aborted,73.0
Australia,Brisbane,CS-9053,Level 1,Chevy Bolt,Chevrolet,66,2025-03-26 17:37:44,2025-03-26 19:40:44,123,12.0,2.01,App,28.1,Completed,14.8
China,Shenzhen,CS-3083,Level 2,BYD Han,BYD,76,2025-01-26 18:31:07,2025-01-26 19:59:07,88,36.18,8.71,Subscription,11.1,Aborted,50.0
Norway,Bergen,CS-3049,Level 2,Nissan Leaf,Nissan,40,2025-04-06 21:44:22,2025-04-07 00:32:22,168,6.4,1.47,Subscription,5.0,Completed,28.3
Australia,Brisbane,CS-4416,Level 1,Tesla Model 3,Tesla,60,2025-01-11 13:49:21,2025-01-11 15:12:21,83,36.69,12.07,App,15.8,Aborted,83.3
UK,Birmingham,CS-3457,Level 2,Porsche Taycan,Porsche,93,2025-03-21 22:21:46,2025-03-22 01:18:46,177,76.65,29.95,App,11.3,Aborted,63.6
UK,Manchester,CS-1711,DC Fast,Porsche Taycan,Porsche,93,2025-02-17 16:42:50,2025-02-17 19:03:50,141,30.36,11.64,Card,13.2,Aborted,30.2
Germany,Munich,CS-2153,Level 2,Renault Zoe,Renault,52,2025-03-18 10:17:16,2025-03-18 10:32:16,15,35.91,9.44,Card,2.5,Aborted,59.8
Norway,Trondheim,CS-4202,Level 2,Kia EV6,Kia,77,2025-03-05 07:13:58,2025-03-05 07:41:58,28,19.66,5.21,App,30.2,Aborted,19.7
Australia,Sydney,CS-6779,Level 1,BMW i3,BMW,42,2025-03-18 13:14:07,2025-03-18 14:48:07,94,25.38,6.74,Card,34.7,Completed,46.9
Germany,Hamburg,CS-8875,DC Fast,BMW i3,BMW,42,2025-02-08 21:19:13,2025-02-08 23:41:13,142,39.51,7.41,App,11.6,Aborted,88.4
France,Lyon,CS-1106,DC Fast,Renault Zoe,Renault,52,2025-04-04 04:29:12,2025-04-04 05:21:12,52,23.03,8.67,Subscription,30.2,Completed,32.1
Canada,Vancouver,CS-3984,Level 2,Renault Zoe,Renault,52,2025-03-07 01:13:45,2025-03-07 02:36:45,83,43.57,8.05,Subscription,18.2,Failed,49.2
UK,Manchester,CS-4506,DC Fast,Renault Zoe,Renault,52,2025-03-22 07:34:02,2025-03-22 09:52:02,138,21.22,5.64,App,13.2,Aborted,79.6
France,Nice,CS-4445,Level 2,Porsche Taycan,Porsche,93,2025-02-28 09:49:18,2025-02-28 11:03:18,74,80.33,17.93,Subscription,13.9,Aborted,40.9
UK,Manchester,CS-7366,Level 1,Tesla Model 3,Tesla,60,2025-03-05 17:44:16,2025-03-05 18:31:16,47,32.63,9.04,App,-1.0,Aborted,11.2
UK,Manchester,CS-1248,Level 2,BMW i3,BMW,42,2025-02-28 22:23:01,2025-02-28 22:57:01,34,22.37,8.74,Subscription,22.7,Failed,16.4
India,Bangalore,CS-5442,Level 2,Renault Zoe,Renault,52,2025-01-27 15:20:09,2025-01-27 17:12:09,112,49.84,14.36,Subscription,-3.6,Completed,28.8
China,Beijing,CS-5801,DC Fast,Nissan Leaf,Nissan,40,2025-02-16 15:55:09,2025-02-16 18:01:09,126,39.24,12.88,Card,12.7,Failed,34.0
USA,New York,CS-4502,Level 1,Audi e-tron,Audi,95,2025-04-06 04:59:27,2025-04-06 05:28:27,29,31.4,6.67,Card,16.2,Failed,64.5
UK,London,CS-9879,DC Fast,BMW i3,BMW,42,2025-01-16 02:16:25,2025-01-16 02:51:25,35,27.55,5.92,Card,14.9,Failed,21.4
Norway,Trondheim,CS-2472,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-07 12:22:58,2025-03-07 14:34:58,132,20.06,2.06,App,22.1,Completed,15.9
India,Bangalore,CS-5785,Level 2,Hyundai Kona Electric,Hyundai,64,2025-01-12 19:22:19,2025-01-12 22:20:19,178,61.76,18.97,App,3.0,Aborted,78.3
Germany,Berlin,CS-7011,DC Fast,Porsche Taycan,Porsche,93,2025-03-27 11:38:16,2025-03-27 14:19:16,161,36.59,6.91,App,-4.1,Failed,41.7
USA,San Francisco,CS-6700,Level 2,Tesla Model 3,Tesla,60,2025-02-26 03:36:39,2025-02-26 06:26:39,170,45.98,16.09,Card,19.3,Aborted,27.5
France,Nice,CS-4986,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-02-25 15:32:07,2025-02-25 16:22:07,50,42.07,15.61,Card,7.4,Aborted,12.7
India,Bangalore,CS-6433,Level 2,BMW i3,BMW,42,2025-02-05 06:37:10,2025-02-05 07:15:10,38,38.66,7.66,Card,3.0,Failed,80.1
India,Bangalore,CS-2809,Level 2,Renault Zoe,Renault,52,2025-01-09 16:32:29,2025-01-09 17:56:29,84,44.03,7.8,App,24.9,Aborted,74.3
Norway,Oslo,CS-6738,Level 2,BMW i3,BMW,42,2025-03-29 08:33:48,2025-03-29 09:45:48,72,36.83,11.68,Subscription,9.6,Aborted,11.1
Japan,Tokyo,CS-7051,DC Fast,Kia EV6,Kia,77,2025-03-16 00:47:44,2025-03-16 02:36:44,109,53.44,16.12,App,27.9,Aborted,18.7
France,Lyon,CS-4418,DC Fast,Tesla Model 3,Tesla,60,2025-02-26 10:53:32,2025-02-26 13:46:32,173,53.63,14.4,Card,20.9,Failed,75.9
China,Shenzhen,CS-1067,Level 2,Porsche Taycan,Porsche,93,2025-03-27 13:48:52,2025-03-27 14:32:52,44,17.3,6.64,App,-0.4,Completed,81.0
UK,Manchester,CS-1681,DC Fast,Kia EV6,Kia,77,2025-02-21 16:59:37,2025-02-21 18:48:37,109,53.28,17.21,App,18.5,Failed,22.4
Canada,Montreal,CS-6682,Level 2,Nissan Leaf,Nissan,40,2025-02-27 02:32:50,2025-02-27 04:52:50,140,26.55,10.13,Card,22.6,Completed,45.5
France,Lyon,CS-1451,Level 2,Nissan Leaf,Nissan,40,2025-01-28 14:30:40,2025-01-28 16:19:40,109,24.06,9.46,Card,10.9,Completed,87.5
Norway,Oslo,CS-7809,Level 1,Chevy Bolt,Chevrolet,66,2025-02-01 01:49:17,2025-02-01 04:48:17,179,44.01,17.22,App,4.7,Completed,73.0
France,Paris,CS-6754,Level 1,Renault Zoe,Renault,52,2025-01-14 12:30:37,2025-01-14 13:38:37,68,32.56,11.2,App,26.0,Failed,10.2
UK,London,CS-9331,Level 1,Renault Zoe,Renault,52,2025-02-15 02:20:43,2025-02-15 03:39:43,79,42.53,5.66,Card,-4.4,Completed,57.1
USA,New York,CS-2637,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-16 08:52:01,2025-01-16 09:20:01,28,12.48,2.82,Subscription,-2.5,Aborted,72.2
Japan,Yokohama,CS-3171,Level 1,Nissan Leaf,Nissan,40,2025-03-14 05:01:58,2025-03-14 07:11:58,130,22.63,8.68,Subscription,26.3,Failed,51.7
Norway,Trondheim,CS-2120,Level 2,Tesla Model 3,Tesla,60,2025-03-11 02:09:31,2025-03-11 02:39:31,30,59.92,21.22,Subscription,-0.7,Failed,82.8
Germany,Berlin,CS-3623,DC Fast,Audi e-tron,Audi,95,2025-03-17 02:39:09,2025-03-17 05:29:09,170,18.35,2.53,Subscription,18.4,Failed,36.0
Australia,Brisbane,CS-8159,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-06 15:32:35,2025-03-06 17:43:35,131,34.83,7.98,Card,29.1,Failed,80.2
Japan,Yokohama,CS-4441,Level 2,Chevy Bolt,Chevrolet,66,2025-02-09 18:53:08,2025-02-09 20:58:08,125,32.54,5.48,App,10.9,Failed,17.6
Canada,Vancouver,CS-6273,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-11 09:29:08,2025-03-11 11:19:08,110,61.26,18.75,Card,-1.4,Completed,17.5
Germany,Hamburg,CS-5342,DC Fast,Audi e-tron,Audi,95,2025-02-02 00:50:23,2025-02-02 01:38:23,48,55.07,15.2,Subscription,8.2,Completed,42.9
Canada,Montreal,CS-6244,DC Fast,Tesla Model 3,Tesla,60,2025-01-20 11:15:26,2025-01-20 12:43:26,88,38.02,7.81,Subscription,3.5,Failed,48.6
Germany,Munich,CS-1382,Level 1,Renault Zoe,Renault,52,2025-02-04 00:39:00,2025-02-04 02:28:00,109,10.4,1.91,App,28.8,Failed,59.1
Japan,Tokyo,CS-3300,Level 2,BYD Han,BYD,76,2025-02-04 01:27:56,2025-02-04 02:50:56,83,7.06,1.28,App,9.0,Completed,79.6
Australia,Brisbane,CS-9929,Level 1,Porsche Taycan,Porsche,93,2025-03-24 22:46:53,2025-03-24 23:18:53,32,17.48,5.07,Card,24.8,Completed,40.1
Norway,Bergen,CS-5362,DC Fast,BMW i3,BMW,42,2025-03-04 01:28:21,2025-03-04 03:17:21,109,16.53,3.26,Subscription,-1.6,Completed,22.4
Australia,Sydney,CS-7185,DC Fast,Nissan Leaf,Nissan,40,2025-02-08 19:48:14,2025-02-08 21:12:14,84,20.51,4.66,App,11.6,Completed,70.4
Germany,Munich,CS-2207,Level 2,Porsche Taycan,Porsche,93,2025-03-25 02:49:20,2025-03-25 03:32:20,43,29.93,9.09,Subscription,21.7,Completed,27.6
Australia,Sydney,CS-9744,Level 1,Tesla Model 3,Tesla,60,2025-02-24 00:11:30,2025-02-24 01:18:30,67,21.58,3.53,App,6.6,Completed,10.6
Canada,Toronto,CS-6737,DC Fast,BMW i3,BMW,42,2025-03-02 20:59:28,2025-03-02 22:51:28,112,24.71,4.18,Subscription,27.2,Completed,41.8
USA,Los Angeles,CS-7469,DC Fast,Tesla Model 3,Tesla,60,2025-02-02 00:44:52,2025-02-02 02:56:52,132,55.66,19.96,App,17.9,Failed,61.2
China,Beijing,CS-1931,DC Fast,Porsche Taycan,Porsche,93,2025-03-03 17:24:23,2025-03-03 17:44:23,20,90.03,13.65,App,28.3,Aborted,17.1
Germany,Berlin,CS-7820,Level 2,Porsche Taycan,Porsche,93,2025-03-06 08:38:08,2025-03-06 11:23:08,165,40.24,4.97,Subscription,8.6,Aborted,72.3
Germany,Hamburg,CS-3087,Level 2,Nissan Leaf,Nissan,40,2025-03-28 02:09:35,2025-03-28 04:39:35,150,22.85,8.5,App,24.1,Failed,75.2
France,Paris,CS-2665,DC Fast,BMW i3,BMW,42,2025-03-30 00:12:52,2025-03-30 01:32:52,80,12.3,3.45,Card,2.1,Failed,49.5
Australia,Brisbane,CS-3756,Level 2,Kia EV6,Kia,77,2025-03-08 18:58:44,2025-03-08 21:37:44,159,51.3,20.31,Subscription,7.6,Aborted,15.5
Norway,Trondheim,CS-1010,Level 1,Hyundai Kona Electric,Hyundai,64,2025-02-16 03:04:47,2025-02-16 04:29:47,85,39.89,8.2,App,13.5,Completed,14.6
China,Beijing,CS-6961,DC Fast,Nissan Leaf,Nissan,40,2025-03-04 06:24:07,2025-03-04 09:16:07,172,25.79,5.55,Subscription,33.2,Failed,81.7
Norway,Trondheim,CS-8456,Level 1,Chevy Bolt,Chevrolet,66,2025-01-30 07:40:22,2025-01-30 09:17:22,97,41.91,10.49,App,-0.9,Aborted,88.6
Germany,Hamburg,CS-6268,Level 2,BMW i3,BMW,42,2025-01-22 00:26:09,2025-01-22 00:51:09,25,14.17,3.28,Subscription,15.9,Completed,39.1
China,Shanghai,CS-3715,DC Fast,Porsche Taycan,Porsche,93,2025-01-18 16:22:05,2025-01-18 18:03:05,101,64.74,7.49,Subscription,8.4,Aborted,17.6
Canada,Vancouver,CS-1623,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-02-25 06:08:15,2025-02-25 08:57:15,169,56.52,11.3,Subscription,0.7,Aborted,34.8
Canada,Toronto,CS-4149,Level 2,BYD Han,BYD,76,2025-01-17 18:28:18,2025-01-17 19:04:18,36,26.98,5.75,Card,21.8,Failed,89.8
Japan,Tokyo,CS-3939,Level 1,Porsche Taycan,Porsche,93,2025-01-31 07:37:36,2025-01-31 10:02:36,145,36.84,7.69,Card,8.7,Aborted,25.4
UK,London,CS-5186,DC Fast,Nissan Leaf,Nissan,40,2025-03-27 09:07:23,2025-03-27 10:37:23,90,34.55,4.5,Subscription,30.3,Completed,63.0
Australia,Sydney,CS-2297,DC Fast,BYD Han,BYD,76,2025-03-14 10:40:00,2025-03-14 12:31:00,111,15.95,2.46,Subscription,27.4,Completed,67.7
USA,Los Angeles,CS-5212,DC Fast,Audi e-tron,Audi,95,2025-03-28 21:13:25,2025-03-28 22:28:25,75,92.26,26.13,App,4.4,Completed,34.8
Norway,Oslo,CS-6152,Level 2,Audi e-tron,Audi,95,2025-03-03 16:37:08,2025-03-03 19:18:08,161,93.6,22.32,App,15.1,Aborted,87.3
France,Nice,CS-9231,Level 2,BMW i3,BMW,42,2025-02-07 19:58:05,2025-02-07 21:17:05,79,6.93,1.69,Subscription,32.4,Failed,77.7
Germany,Munich,CS-3636,Level 1,Nissan Leaf,Nissan,40,2025-02-04 23:13:45,2025-02-05 00:09:45,56,14.55,5.41,App,-1.3,Completed,75.3
India,Mumbai,CS-5374,Level 2,Porsche Taycan,Porsche,93,2025-01-25 10:18:46,2025-01-25 10:46:46,28,39.89,8.46,Card,10.0,Completed,35.5
Germany,Hamburg,CS-8595,Level 2,Audi e-tron,Audi,95,2025-03-27 16:34:47,2025-03-27 17:26:47,52,17.38,3.23,Subscription,28.2,Failed,47.5
Australia,Sydney,CS-6596,DC Fast,Nissan Leaf,Nissan,40,2025-02-04 15:24:01,2025-02-04 15:43:01,19,13.96,4.89,Subscription,19.4,Aborted,18.9
China,Beijing,CS-6772,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-21 19:08:11,2025-03-21 19:54:11,46,7.82,1.77,App,-2.5,Aborted,57.7
USA,San Francisco,CS-7510,Level 2,Renault Zoe,Renault,52,2025-02-10 16:08:52,2025-02-10 18:50:52,162,16.37,2.34,Card,19.6,Completed,55.7
